BloodBank ID,BloodBank,BloodGroup,Units Available,Hospital,H.Contact,Pharmacy,Medicine Availability,Hospital Location,LastUpdated,Status
BB001,Apex Blood Bank,A+,12,Apex Care Hospital,022-40011222,MedPlus,Available,Mumbai,01-08-2026,Active
BB002,Lifecare Blood Centre,B+,7,Lifecare Medical Centre,2026558900,Apollo Pharmacy,Limited,pune,02-08-2026,active
BB003,Harmony Blood Bank,O-,3,Harmony Hospital,022-27894500,Wellness Pharma,Available,Navi Mumbai,03-08-2026,Active
BB004,Green Valley Blood Unit,AB+,5,Green Valley Hosp.,2241557888,Medico,Out of Stock,Thane,04-08-2026,ACTIVE
BB005,Metro Blood Bank,O+,14,Metro Health Hospital,020-26111211,Apollo Pharmacy,Available,Pune,05-08-2026,Active
BB006,Sunrise Blood Centre,A-,2,Sunrise Multispeciality,2261478500,Care Pharmacy,Limited,MUMBAI,06-08-2026,inactive
BB007,Unity Blood Bank,B-,4,Unity Hospital,022-27788999,Wellness Pharma,Available,Navi Mumbai,07-08-2026,Active
BB008,Global Blood Unit,AB-,6,Global Health Institute,022-40115678,MedPlus,Available,Mumbai,08-08-2026,active
BB009,CityPlus Blood Centre,O+,10,CityPlus Hospital,2225851234,Apollo Pharmacy,Limited,THANE,09-08-2026,Active
BB010,CareOne Blood Bank,A+,8,CareOne Hospital,2026669333,Medico,Available,Pune,10-08-2026,ACTIVE
BB011,Apex Emergency Blood Unit,B+,9,Apex Care Hospital,022-40011222,Care Pharmacy,Available,Mumbai,11-08-2026,Active
BB012,Lifecare Blood Bank,O+,11,Lifecare Medical Centre,2026558900,MedPlus,Limited,Pune,12-08-2026,active
BB013,Harmony Blood Centre,A+,6,Harmony Hospital,022-27894500,Apollo Pharmacy,Available,Navi Mumbai,13-08-2026,Active
BB014,Green Valley Blood Bank,B-,4,Green Valley Hosp.,2241557888,Medico,Limited,THANE,14-08-2026,ACTIVE
BB015,Metro Blood Centre,AB+,8,Metro Health Hospital,020-26111211,Wellness Pharma,Available,Pune,15-08-2026,Active
BB016,Sunrise Blood Bank,O-,5,Sunrise Multispeciality,2261478500,Care Pharmacy,Out of Stock,Mumbai,16-08-2026,inactive
BB017,Unity Blood Centre,A-,3,Unity Hospital,022-27788999,MedPlus,Limited,Navi Mumbai,17-08-2026,Active
BB018,Global Blood Bank,B+,13,Global Health Institute,022-40115678,Apollo Pharmacy,Available,Mumbai,18-08-2026,active
BB019,CityPlus Blood Bank,AB-,7,CityPlus Hospital,2225851234,Medico,Available,Thane,19-08-2026,Active
BB020,CareOne Blood Centre,O+,15,CareOne Hospital,2026669333,Wellness Pharma,Available,pune,20-08-2026,ACTIVE
BB021,Apex Blood Reserve,O-,4,Apex Care Hospital,022-40011222,MedPlus,Limited,MUMBAI,21-08-2026,Active
BB022,Lifecare Emergency Blood Unit,A+,10,Lifecare Medical Centre,2026558900,Care Pharmacy,Available,Pune,22-08-2026,active
BB023,Harmony Emergency Blood Bank,B+,6,Harmony Hospital,022-27894500,Apollo Pharmacy,Limited,Navi Mumbai,23-08-2026,Active
BB024,Green Valley Blood Centre,O+,9,Green Valley Hosp.,2241557888,Medico,Available,Thane,24-08-2026,ACTIVE
BB025,Metro Emergency Blood Unit,A-,2,Metro Health Hospital,020-26111211,MedPlus,Out of Stock,Pune,25-08-2026,Active
BB026,Sunrise Emergency Blood Bank,AB+,5,Sunrise Multispeciality,2261478500,Wellness Pharma,Limited,MUMBAI,26-08-2026,inactive
BB027,Unity Emergency Blood Centre,O+,12,Unity Hospital,022-27788999,Apollo Pharmacy,Available,Navi Mumbai,27-08-2026,Active
BB028,Global Emergency Blood Bank,B-,7,Global Health Institute,022-40115678,Care Pharmacy,Available,Mumbai,28-08-2026,active
