Pharmacy ID,Hospital ID,Pharmacy Name,Contact No,Medicine Availability
PH001,H013,Pharmacy,H.Contact,Medicine Availability
PH002,H001,MedPlus,022-40011222,Available
PH003,H002,Apollo Pharmacy,2026558900,Limited
PH004,H003,Wellness Pharma,022-27894500,Available
PH005,H004,Medico,2241557888,Out of Stock
PH006,H005,Apollo Pharmacy,020-26111211,Available
PH007,H011,Care Pharmacy,2261478500,Limited
PH008,H007,Wellness Pharma,022-27788999,Available
PH009,H008,MedPlus,022-40115678,Available
PH010,H012,Apollo Pharmacy,2225851234,Limited
PH011,H010,Medico,2026669333,Available
PH012,H001,Care Pharmacy,022-40011222,Available
PH013,H002,MedPlus,2026558900,Limited
PH014,H003,Apollo Pharmacy,022-27894500,Available
PH015,H005,Wellness Pharma,020-26111211,Available
PH016,H007,MedPlus,022-27788999,Limited
PH017,H008,Apollo Pharmacy,022-40115678,Available
PH018,H012,Medico,2225851234,Available
PH019,H010,Wellness Pharma,2026669333,Available
PH020,H002,Care Pharmacy,2026558900,Available
PH021,H005,MedPlus,020-26111211,Out of Stock
PH022,H011,Wellness Pharma,2261478500,Limited
PH023,H007,Apollo Pharmacy,022-27788999,Available
PH024,H008,Care Pharmacy,022-40115678,Available
PH025,H010,MedPlus,2026669333,Available
PH026,H001,Apollo Pharmacy,022-40011222,Available
PH027,H002,Wellness Pharma,2026558900,Limited
PH028,H003,Care Pharmacy,022-27894500,Available
PH029,H004,MedPlus,2241557888,Limited
PH030,H011,Medico,2261478500,Available
PH031,H012,MedPlus,2225851234,Out of Stock
PH032,H010,Apollo Pharmacy,2026669333,Available
PH033,H001,Medico,022-40011222,Limited
PH034,H004,Apollo Pharmacy,2241557888,Limited
PH035,H012,Care Pharmacy,2225851234,Available
PH036,H001,Wellness Pharma,022-40011222,Limited
PH037,H003,MedPlus,022-27894500,Available
PH038,H004,Care Pharmacy,2241557888,Limited
PH039,H005,Medico,020-26111211,Available
PH040,H011,Apollo Pharmacy,2261478500,Out of Stock
PH041,H002,Medico,2026558900,Available
PH042,H004,Wellness Pharma,2241557888,Available
PH043,H005,Care Pharmacy,020-26111211,Limited
PH044,H011,MedPlus,2261478500,Available
PH045,H008,Medico,022-40115678,Limited
PH046,H012,Wellness Pharma,2225851234,Available
PH047,H003,Medico,022-27894500,Available
PH048,H008,Wellness Pharma,022-40115678,Available
